success,status_code,elapsed_ms,error
True,200,17.17,
True,200,16.87,
True,200,3.96,
True,200,7.88,
True,200,5.51,
True,200,2.31,
True,200,11.17,
True,200,6.11,
True,200,2.12,
True,200,4.83,
True,200,3.34,
True,200,4.44,
True,200,27.45,
True,200,2.72,
True,200,1.85,
True,200,2.28,
True,200,12.18,
True,200,14.53,
True,200,2.83,
True,200,12.64,
True,200,4.86,
True,200,2.65,
True,200,2.16,
True,200,2.14,
True,200,1.99,
True,200,10.83,
True,200,2.97,
True,200,2.62,
True,200,2.59,
True,200,2.26,
True,200,6.42,
True,200,6.44,
True,200,2.30,
True,200,1.71,
True,200,2.07,
True,200,2.92,
True,200,3.48,
True,200,16.68,
True,200,8.55,
True,200,4.91,
True,200,4.40,
True,200,2.54,
True,200,1.88,
True,200,3.44,
True,200,6.50,
True,200,6.62,
True,200,10.05,
True,200,3.63,
True,200,47.60,
True,200,4.61,
True,200,4.47,
True,200,2.47,
True,200,45.40,
True,200,5.46,
True,200,5.22,
True,200,3.69,
True,200,6.10,
True,200,11.41,
True,200,8.59,
True,200,7.68,
True,200,5.15,
True,200,18.20,
True,200,2.17,
True,200,2.53,
True,200,37.58,
True,200,3.94,
True,200,2.20,
True,200,2.83,
True,200,19.09,
True,200,5.10,
True,200,4.94,
True,200,5.95,
True,200,2.75,
True,200,4.51,
True,200,3.10,
True,200,2.67,
True,200,11.07,
True,200,2.27,
True,200,15.28,
True,200,4.86,
True,200,6.60,
True,200,14.22,
True,200,4.85,
True,200,11.37,
True,200,9.93,
True,200,2.27,
True,200,2.28,
True,200,2.33,
True,200,5.04,
True,200,3.85,
True,200,6.44,
True,200,7.71,
True,200,10.19,
True,200,10.42,
True,200,15.16,
True,200,24.20,
True,200,26.73,
True,200,28.34,
True,200,4.17,
True,200,4.73,
True,200,27.96,
True,200,4.59,
True,200,14.40,
True,200,19.75,
True,200,7.10,
True,200,7.18,
True,200,5.98,
True,200,14.04,
True,200,14.08,
True,200,19.34,
True,200,2.15,
True,200,2.08,
True,200,3.36,
True,200,2.44,
True,200,31.10,
True,200,21.51,
True,200,13.39,
True,200,2.66,
True,200,15.47,
True,200,6.19,
True,200,13.72,
True,200,11.11,
True,200,11.23,
True,200,11.90,
True,200,18.45,
True,200,2.88,
True,200,5.35,
True,200,3.20,
True,200,3.09,
True,200,2.01,
True,200,2.17,
True,200,4.74,
True,200,15.02,
True,200,2.44,
True,200,8.01,
True,200,13.59,
True,200,6.53,
True,200,4.08,
True,200,5.09,
True,200,7.28,
True,200,9.95,
True,200,8.70,
True,200,6.12,
True,200,2.08,
True,200,4.29,
True,200,2.28,
True,200,3.15,
True,200,15.05,
True,200,4.12,
True,200,2.92,
True,200,3.00,
True,200,8.18,
True,200,2.55,
True,200,2.21,
True,200,2.00,
True,200,2.70,
True,200,5.99,
True,200,5.78,
True,200,4.94,
True,200,27.87,
True,200,17.02,
True,200,2.38,
True,200,2.59,
True,200,12.91,
True,200,23.51,
True,200,4.10,
True,200,6.54,
True,200,7.79,
True,200,21.69,
True,200,8.87,
True,200,8.92,
True,200,4.40,
True,200,3.13,
True,200,12.59,
True,200,4.79,
True,200,5.98,
True,200,6.30,
True,200,2.88,
True,200,2.83,
True,200,2.66,
True,200,2.64,
True,200,2.70,
True,200,4.60,
True,200,2.77,
True,200,2.45,
True,200,2.67,
True,200,2.35,
True,200,2.49,
True,200,9.78,
True,200,5.74,
True,200,5.19,
True,200,10.69,
True,200,13.29,
True,200,13.25,
True,200,2.94,
True,200,2.23,
True,200,3.54,
True,200,3.57,
True,200,3.59,
True,200,2.66,
True,200,2.04,
True,200,2.54,
True,200,3.06,
True,200,3.81,
True,200,3.23,
True,200,2.30,
True,200,2.55,
True,200,2.56,
True,200,3.39,
True,200,3.11,
True,200,23.64,
True,200,7.11,
True,200,23.55,
True,200,4.68,
True,200,7.68,
True,200,15.78,
True,200,5.02,
True,200,2.25,
True,200,6.71,
True,200,3.32,
True,200,3.62,
True,200,3.59,
True,200,2.93,
True,200,3.76,
True,200,8.42,
True,200,2.79,
True,200,2.41,
True,200,6.28,
True,200,4.50,
True,200,13.07,
True,200,8.95,
True,200,3.22,
True,200,5.25,
True,200,43.14,
True,200,64.96,
True,200,58.02,
True,200,7.72,
True,200,7.41,
True,200,3.82,
True,200,7.96,
True,200,5.55,
True,200,5.75,
True,200,2.69,
True,200,2.88,
True,200,4.87,
True,200,5.43,
True,200,4.52,
True,200,3.56,
True,200,6.02,
True,200,4.75,
True,200,3.49,
True,200,2.22,
True,200,5.54,
True,200,14.23,
True,200,4.11,
True,200,3.54,
True,200,31.86,
True,200,3.06,
True,200,3.60,
True,200,12.27,
True,200,22.09,
True,200,4.24,
True,200,2.87,
True,200,2.36,
True,200,5.77,
True,200,2.35,
True,200,19.81,
True,200,4.77,
True,200,15.87,
True,200,22.64,
True,200,31.30,
True,200,5.78,
True,200,4.47,
True,200,8.97,
True,200,11.25,
True,200,13.00,
True,200,15.31,
True,200,19.09,
True,200,3.29,
True,200,9.80,
True,200,17.47,
True,200,3.25,
True,200,5.06,
True,200,11.49,
True,200,4.28,
True,200,4.08,
True,200,4.82,
True,200,8.81,
True,200,25.34,
True,200,3.52,
True,200,8.48,
True,200,6.69,
True,200,4.18,
True,200,23.21,
True,200,3.01,
True,200,3.96,
True,200,13.27,
True,200,22.85,
True,200,49.05,
True,200,2.62,
True,200,3.05,
True,200,46.04,
True,200,2.26,
True,200,42.42,
True,200,3.67,
True,200,47.18,
True,200,23.99,
True,200,14.33,
True,200,10.07,
True,200,15.32,
True,200,25.75,
True,200,26.05,
True,200,6.82,
True,200,5.57,
True,200,3.04,
True,200,5.74,
True,200,3.87,
True,200,8.13,
True,200,6.34,
True,200,7.65,
True,200,10.09,
