success,status_code,elapsed_ms,error
True,200,6.88,
True,200,5.04,
True,200,6.12,
True,200,6.96,
True,200,7.99,
True,200,7.08,
True,200,7.95,
True,200,6.25,
True,200,7.89,
True,200,7.89,
True,200,7.89,
True,200,7.46,
True,200,5.42,
True,200,8.60,
True,200,7.34,
True,200,9.28,
True,200,9.93,
True,200,11.40,
True,200,9.16,
True,200,9.29,
True,200,9.06,
True,200,8.13,
True,200,7.65,
True,200,9.12,
True,200,6.46,
True,200,6.34,
True,200,6.30,
True,200,6.23,
True,200,6.28,
True,200,6.21,
True,200,6.10,
True,200,5.30,
True,200,13.75,
True,200,5.79,
True,200,5.84,
True,200,5.52,
True,200,6.55,
True,200,9.50,
True,200,9.60,
True,200,9.61,
True,200,9.62,
True,200,9.74,
True,200,9.80,
True,200,8.83,
True,200,8.88,
True,200,10.10,
True,200,6.33,
True,200,15.44,
True,200,8.51,
True,200,9.13,
True,200,6.73,
True,200,13.84,
True,200,13.83,
True,200,7.77,
True,200,4.24,
True,200,9.14,
True,200,8.96,
True,200,7.30,
True,200,7.32,
True,200,7.16,
True,200,7.18,
True,200,8.86,
True,200,9.03,
True,200,9.26,
True,200,6.81,
True,200,7.27,
True,200,7.40,
True,200,7.29,
True,200,10.20,
True,200,8.19,
True,200,8.41,
True,200,13.55,
True,200,7.37,
True,200,7.54,
True,200,7.41,
True,200,12.86,
True,200,6.12,
True,200,6.14,
True,200,6.33,
True,200,7.85,
True,200,15.31,
True,200,7.14,
True,200,13.69,
True,200,5.91,
True,200,6.87,
True,200,15.86,
True,200,8.80,
True,200,5.41,
True,200,11.91,
True,200,6.71,
True,200,6.74,
True,200,6.84,
True,200,7.23,
True,200,10.11,
True,200,7.96,
True,200,7.86,
True,200,7.93,
True,200,7.86,
True,200,7.71,
True,200,8.95,
True,200,6.24,
True,200,6.34,
True,200,6.46,
True,200,5.56,
True,200,8.30,
True,200,8.40,
True,200,8.15,
True,200,8.20,
True,200,7.25,
True,200,7.01,
True,200,8.71,
True,200,8.67,
True,200,12.39,
True,200,8.36,
True,200,12.35,
True,200,8.34,
True,200,12.63,
True,200,14.84,
True,200,12.75,
True,200,6.52,
True,200,8.28,
True,200,13.78,
True,200,8.70,
True,200,8.89,
True,200,9.31,
True,200,9.57,
True,200,8.35,
True,200,10.62,
True,200,19.69,
True,200,14.04,
True,200,13.99,
True,200,7.52,
True,200,8.12,
True,200,4.46,
True,200,8.28,
True,200,8.25,
True,200,8.90,
True,200,8.66,
True,200,8.04,
True,200,7.68,
True,200,7.54,
True,200,8.06,
True,200,8.02,
True,200,6.07,
True,200,5.97,
True,200,5.72,
True,200,8.52,
True,200,4.02,
True,200,8.68,
True,200,7.26,
True,200,8.46,
